level,action,base_int,base_luk,base_hp,base_mp,extra_mp,fresh_ap_int,fresh_ap_luk,fresh_ap_dex,fresh_ap_hp,fresh_ap_mp,apr_spent,notes
1,BUILD,13,4,50,5,-157,9,0,0,0,0,0,creation AP → INT
2,BUILD,18,4,64,17,-159,5,0,0,0,0,0,DEX/INT build
3,BUILD,20,4,78,29,-161,2,0,3,0,0,0,DEX/INT build
4,BUILD,20,4,92,42,-162,0,0,5,0,0,0,DEX/INT build
5,BUILD,20,4,106,55,-163,0,0,5,0,0,0,DEX/INT build
6,BUILD,20,4,120,68,-164,0,0,5,0,0,0,DEX/INT build
7,BUILD,22,4,134,81,-165,2,0,3,0,0,0,DEX/INT build; stack INT
8,BUILD,27,4,148,94,-166,5,0,0,0,0,0,stack INT
9,BUILD,32,4,162,107,-167,5,0,0,0,0,0,stack INT
10,BUILD,37,4,338,123,-165,5,0,0,0,0,0,stack INT
11,BUILD,42,4,360,144,-158,5,0,0,0,0,0,stack INT
12,BUILD,47,4,382,166,-150,5,0,0,0,0,0,stack INT
13,BUILD,52,4,404,188,-142,5,0,0,0,0,0,stack INT
14,BUILD,57,4,426,211,-133,5,0,0,0,0,0,stack INT
15,BUILD,62,4,448,235,-123,5,0,0,0,0,0,stack INT
16,BUILD,67,4,470,260,-112,5,0,0,0,0,0,stack INT
17,BUILD,72,4,492,286,-100,5,0,0,0,0,0,stack INT
18,BUILD,77,4,514,312,-88,5,0,0,0,0,0,stack INT
19,BUILD,82,4,536,339,-75,5,0,0,0,0,0,stack INT
20,BUILD,87,4,558,372,-56,5,0,0,0,0,0,stack INT
21,BUILD,92,4,580,405,-37,5,0,0,0,0,0,stack INT
22,BUILD,97,4,602,439,-17,5,0,0,0,0,0,stack INT
23,BUILD,102,4,624,473,3,5,0,0,0,0,0,stack INT
24,BUILD,107,4,646,508,24,5,0,0,0,0,0,stack INT
25,BUILD,112,4,668,545,47,5,0,0,0,0,0,stack INT
26,BUILD,117,4,690,582,70,5,0,0,0,0,0,stack INT
27,BUILD,122,4,712,620,94,5,0,0,0,0,0,stack INT
28,BUILD,127,4,734,658,118,5,0,0,0,0,0,stack INT
29,BUILD,132,4,756,697,143,5,0,0,0,0,0,stack INT
30,BUILD,137,4,1104,912,344,5,0,0,0,0,0,stack INT
31,HP5,142,4,1236,893,311,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
32,HP5,147,4,1368,875,279,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
33,HP5,152,4,1500,857,247,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
34,HP5,157,4,1632,840,216,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
35,HP5,162,4,1764,823,185,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
36,HP5,167,4,1896,807,155,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
37,HP5,172,4,2028,791,125,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
38,HP5,177,4,2160,776,96,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
39,HP5,182,4,2292,761,67,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
40,HP5,187,4,2424,747,39,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
41,HP5,192,4,2556,733,11,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
42,MP5,197,4,2578,870,134,0,0,0,0,5,5,MP wash×5 (net MP 90.0); →INT 5 LUK 0
43,HP5,202,4,2710,858,108,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
44,HP5,207,4,2842,846,82,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
45,HP5,212,4,2974,836,58,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
46,HP5,217,4,3106,826,34,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
47,HP5,222,4,3238,817,11,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
48,MP5,227,4,3260,973,153,0,0,0,0,5,5,MP wash×5 (net MP 105.0); →INT 5 LUK 0
49,HP5,232,4,3392,965,131,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
50,HP5,237,4,3524,958,110,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
51,HP5,242,4,3656,952,90,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
52,HP5,247,4,3788,947,71,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
53,HP5,252,4,3920,942,52,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
54,HP5,257,4,4052,938,34,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
55,HP5,262,4,4184,934,16,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
56,MP5,267,4,4206,1116,184,0,0,0,0,5,5,MP wash×5 (net MP 125.0); →INT 5 LUK 0
57,HP5,272,4,4338,1113,167,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
58,HP5,277,4,4470,1111,151,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
59,HP5,282,4,4602,1109,135,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
60,HP5,287,4,4734,1108,120,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
61,HP5,292,4,4866,1107,105,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
62,HP5,297,4,4998,1107,91,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
63,HP5,302,4,5130,1108,78,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
64,HP5,307,4,5262,1109,65,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
65,HP5,312,4,5394,1111,53,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
66,HP5,317,4,5526,1113,41,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
67,HP5,322,4,5658,1116,30,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
68,HP5,327,4,5790,1119,19,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
69,HP5,332,4,5922,1123,9,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
70,HP5,337,4,6378,1303,175,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
71,HP5,342,4,6510,1308,166,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
72,HP5,347,4,6642,1314,158,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 5 LUK 0
73,HP5,350,6,6774,1320,150,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 3 LUK 2
74,MP5,350,11,6796,1557,373,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
75,MP5,350,16,6818,1794,596,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
76,MP5,350,21,6840,2031,819,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
77,MP5,350,26,6862,2268,1042,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
78,MP5,350,31,6884,2505,1265,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
79,MP5,350,36,6906,2742,1488,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
80,MP5,350,41,6928,2979,1711,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
81,MP5,350,46,6950,3216,1934,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
82,MP5,350,51,6972,3453,2157,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
83,MP5,350,56,6994,3690,2380,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
84,MP5,350,61,7016,3927,2603,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
85,MP5,350,66,7038,4164,2826,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
86,MP5,350,71,7060,4401,3049,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
87,MP5,350,76,7082,4638,3272,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
88,MP5,350,81,7104,4875,3495,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
89,MP5,350,86,7126,5112,3718,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
90,MP5,350,91,7148,5349,3941,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
91,MP5,350,96,7170,5586,4164,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
92,MP5,350,101,7192,5823,4387,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
93,MP5,350,106,7214,6060,4610,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
94,MP5,350,111,7236,6297,4833,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
95,MP5,350,116,7258,6534,5056,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
96,MP5,350,121,7280,6771,5279,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
97,MP5,350,126,7302,7008,5502,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
98,MP5,350,131,7324,7245,5725,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
99,MP5,350,136,7346,7482,5948,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
100,MP5,350,141,7368,7719,6171,0,0,0,0,5,5,MP wash×5 (net MP 170.0); →INT 0 LUK 5
101,HP5,350,146,7500,7726,6164,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
102,HP5,350,151,7632,7733,6157,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
103,HP5,350,156,7764,7740,6150,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
104,HP5,350,161,7896,7747,6143,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
105,HP5,350,166,8028,7754,6136,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
106,HP5,350,171,8160,7761,6129,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
107,HP5,350,176,8292,7768,6122,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
108,HP5,350,181,8424,7775,6115,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
109,HP5,350,186,8556,7782,6108,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
110,HP5,350,191,8688,7789,6101,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
111,HP5,350,196,8820,7796,6094,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
112,HP5,350,201,8952,7803,6087,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
113,HP5,350,206,9084,7810,6080,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
114,HP5,350,211,9216,7817,6073,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
115,HP5,350,216,9348,7824,6066,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
116,HP5,350,221,9480,7831,6059,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
117,HP5,350,226,9612,7838,6052,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
118,HP5,350,231,9744,7845,6045,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
119,HP5,350,236,9876,7852,6038,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
120,HP5,350,241,10334,8036,6208,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
121,HP5,350,246,10466,8045,6203,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
122,HP5,350,251,10598,8054,6198,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
123,HP5,350,256,10730,8063,6193,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
124,HP5,350,261,10862,8072,6188,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
125,HP5,350,266,10994,8081,6183,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
126,HP5,350,271,11126,8090,6178,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
127,HP5,350,276,11258,8099,6173,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
128,HP5,350,281,11390,8108,6168,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
129,HP5,350,286,11522,8117,6163,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
130,HP5,350,291,11654,8126,6158,0,0,0,5,0,5,M1×5 (+110.0 HP); wash→INT 0 LUK 5
