level,action,base_int,base_luk,base_hp,base_mp,extra_mp,fresh_ap_int,fresh_ap_luk,fresh_ap_dex,fresh_ap_hp,fresh_ap_mp,apr_spent,notes
1,BUILD,13,4,50,5,-157,9,0,0,0,0,0,創角 AP → INT
2,BUILD,18,4,64,17,-159,5,0,0,0,0,0,建 DEX／INT
3,BUILD,20,4,78,29,-161,2,0,3,0,0,0,建 DEX／INT
4,BUILD,20,4,92,42,-162,0,0,5,0,0,0,建 DEX／INT
5,BUILD,20,4,106,55,-163,0,0,5,0,0,0,建 DEX／INT
6,BUILD,20,4,120,68,-164,0,0,5,0,0,0,建 DEX／INT
7,BUILD,22,4,134,81,-165,2,0,3,0,0,0,建 DEX／INT; 堆 INT
8,BUILD,27,4,148,94,-166,5,0,0,0,0,0,堆 INT
9,BUILD,32,4,162,107,-167,5,0,0,0,0,0,堆 INT
10,BUILD,37,4,338,123,-165,5,0,0,0,0,0,堆 INT
11,BUILD,42,4,360,144,-158,5,0,0,0,0,0,堆 INT
12,BUILD,47,4,382,166,-150,5,0,0,0,0,0,堆 INT
13,BUILD,52,4,404,188,-142,5,0,0,0,0,0,堆 INT
14,BUILD,57,4,426,211,-133,5,0,0,0,0,0,堆 INT
15,BUILD,62,4,448,235,-123,5,0,0,0,0,0,堆 INT
16,BUILD,67,4,470,260,-112,5,0,0,0,0,0,堆 INT
17,BUILD,72,4,492,286,-100,5,0,0,0,0,0,堆 INT
18,BUILD,77,4,514,312,-88,5,0,0,0,0,0,堆 INT
19,BUILD,82,4,536,339,-75,5,0,0,0,0,0,堆 INT
20,BUILD,87,4,558,372,-56,5,0,0,0,0,0,堆 INT
21,BUILD,92,4,580,405,-37,5,0,0,0,0,0,堆 INT
22,BUILD,97,4,602,439,-17,5,0,0,0,0,0,堆 INT
23,BUILD,102,4,624,473,3,5,0,0,0,0,0,堆 INT
24,BUILD,107,4,646,508,24,5,0,0,0,0,0,堆 INT
25,BUILD,112,4,668,545,47,5,0,0,0,0,0,堆 INT
26,BUILD,117,4,690,582,70,5,0,0,0,0,0,堆 INT
27,BUILD,122,4,712,620,94,5,0,0,0,0,0,堆 INT
28,BUILD,127,4,734,658,118,5,0,0,0,0,0,堆 INT
29,BUILD,132,4,756,697,143,5,0,0,0,0,0,堆 INT
30,BUILD,137,4,1104,912,344,5,0,0,0,0,0,堆 INT
31,HP5,142,4,1236,893,311,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
32,HP5,147,4,1368,875,279,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
33,HP5,152,4,1500,857,247,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
34,HP5,157,4,1632,840,216,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
35,HP5,162,4,1764,823,185,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
36,HP5,167,4,1896,807,155,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
37,HP5,172,4,2028,791,125,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
38,HP5,177,4,2160,776,96,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
39,HP5,182,4,2292,761,67,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
40,HP5,187,4,2424,747,39,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
41,HP5,192,4,2556,733,11,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
42,MP5,197,4,2578,870,134,0,0,0,0,5,5,MP wash×5（淨增 MP 90.0）；→ INT 5 LUK 0
43,HP5,202,4,2710,858,108,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
44,HP5,207,4,2842,846,82,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
45,HP5,212,4,2974,836,58,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
46,HP5,217,4,3106,826,34,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
47,HP5,222,4,3238,817,11,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
48,MP5,227,4,3260,973,153,0,0,0,0,5,5,MP wash×5（淨增 MP 105.0）；→ INT 5 LUK 0
49,HP5,232,4,3392,965,131,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
50,HP5,237,4,3524,958,110,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
51,HP5,242,4,3656,952,90,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
52,HP5,247,4,3788,947,71,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
53,HP5,252,4,3920,942,52,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
54,HP5,257,4,4052,938,34,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
55,HP5,262,4,4184,934,16,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
56,MP5,267,4,4206,1116,184,0,0,0,0,5,5,MP wash×5（淨增 MP 125.0）；→ INT 5 LUK 0
57,HP5,272,4,4338,1113,167,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
58,HP5,277,4,4470,1111,151,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
59,HP5,282,4,4602,1109,135,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
60,HP5,287,4,4734,1108,120,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
61,HP5,292,4,4866,1107,105,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
62,HP5,297,4,4998,1107,91,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
63,HP5,302,4,5130,1108,78,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
64,HP5,307,4,5262,1109,65,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
65,HP5,312,4,5394,1111,53,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
66,HP5,317,4,5526,1113,41,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
67,HP5,322,4,5658,1116,30,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
68,HP5,327,4,5790,1119,19,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
69,HP5,332,4,5922,1123,9,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
70,HP5,342,4,6488,1243,115,0,0,0,10,0,10,Method1×10（+220.0 HP）；洗回 INT 10 LUK 0
71,HP5,347,4,6620,1249,107,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
72,HP5,352,4,6752,1255,99,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
73,HP5,357,4,6884,1262,92,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 5 LUK 0
74,HP5,360,6,7016,1270,86,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 3 LUK 2
75,MP5,360,11,7038,1513,315,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
76,MP5,360,16,7060,1756,544,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
77,MP5,360,21,7082,1999,773,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
78,MP5,360,26,7104,2242,1002,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
79,MP5,360,31,7126,2485,1231,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
80,MP5,360,36,7148,2728,1460,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
81,MP5,360,41,7170,2971,1689,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
82,MP5,360,46,7192,3214,1918,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
83,MP5,360,51,7214,3457,2147,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
84,MP5,360,56,7236,3700,2376,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
85,MP5,360,61,7258,3943,2605,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
86,MP5,360,66,7280,4186,2834,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
87,MP5,360,71,7302,4429,3063,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
88,MP5,360,76,7324,4672,3292,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
89,MP5,360,81,7346,4915,3521,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
90,MP5,360,86,7368,5158,3750,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
91,MP5,360,91,7390,5401,3979,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
92,MP5,360,96,7412,5644,4208,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
93,MP5,360,101,7434,5887,4437,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
94,MP5,360,106,7456,6130,4666,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
95,MP5,360,111,7478,6373,4895,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
96,MP5,360,116,7500,6616,5124,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
97,MP5,360,121,7522,6859,5353,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
98,MP5,360,126,7544,7102,5582,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
99,MP5,360,131,7566,7345,5811,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
100,MP5,360,136,7588,7588,6040,0,0,0,0,5,5,MP wash×5（淨增 MP 175.0）；→ INT 0 LUK 5
101,HP5,360,141,7720,7596,6034,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
102,HP5,360,146,7852,7604,6028,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
103,HP5,360,151,7984,7612,6022,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
104,HP5,360,156,8116,7620,6016,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
105,HP5,360,161,8248,7628,6010,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
106,HP5,360,166,8380,7636,6004,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
107,HP5,360,171,8512,7644,5998,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
108,HP5,360,176,8644,7652,5992,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
109,HP5,360,181,8776,7660,5986,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
110,HP5,360,186,8908,7668,5980,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
111,HP5,360,191,9040,7676,5974,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
